FRName,BugURL,IssueTitle,Type,Status,Priority,Resolution,Affects Version/s,Fix Version/s,Component/s,Description
CXF-6126,"https://issues.apache.org/jira/browse/CXF-6126
",Search serviceBeans by given annotation,Improvement,CLOSED,Major,Fixed,3.0.2,"3.0.4, 3.1",JAX-RS,"It would be cool, to be able to specify an annotation in jaxrs xml and JAXRSServerFactoryBeanDefinitionParser scans the Spring context for all beans with this annotation and adds them as service beans.
Simple patch with proof of concept will be attached"
CXF-6074,"https://issues.apache.org/jira/browse/CXF-6074
",Add configured XmlAdapters,Improvement,CLOSED,Major,Fixed,None,3.0.3,JAXB Databinding,"In some cases an XmlAdapter (as used by JAXB) needs state. For this the Marshaller and Unmarshaller have a setAdapter(...) method, that accepts a configured instance.
Currently the JAXBDataBinding has no configuration for this."
CXF-5489,"https://issues.apache.org/jira/browse/CXF-5489
",Add 'transferTo' functionality to Attachments,Improvement,CLOSED,Major,Fixed,None,2.7.9,JAX-RS,"As per the email thread : ""Accessing temporary file name of attachments"", I've created a patch to add transferTo(File) functionality to attachments. In this way, if the uploaded file has been saved as a temp file, an attempt is made to perform an OS level file move rather than reading the file contents in to and out of memory.
For large files accessed over network attached storage, this can be quite beneficial.
Please let me know if this functionality could be included."
CXF-5353,"https://issues.apache.org/jira/browse/CXF-5353
",WADLGenerator needs to support existing JavaDocs when possible,Improvement,CLOSED,Major,Fixed,None,3.0.0-milestone2,None,"CXF @Description annotations targeting a given resource method (method itself and its in and response parameters) will often duplicate what the existing JavaDocs have already documented.
WADLGenerator needs to do the best effort in trying to incorporate JavaDocs into the generated document."
CXF-4936,"https://issues.apache.org/jira/browse/CXF-4936
",(PATCH) Expose FastInfoset serializer tuning properties,New Feature,CLOSED,Major,Fixed,2.6.6,"2.6.8, 2.7.5, 3.0.0-milestone1",Configuration,"The FastInfoset StAX serializer provides several tuning properties that are inherited from the FastInfoset Encoder class:
http://java.net/projects/fi/sources/svn/content/trunk/code/fastinfoset/src/main/java/com/sun/xml/fastinfoset/Encoder.java
Several of them have uses in performance tuning.
The attached patch exposes those properties on the FIStaxOutInterceptor and FastInfoset configuration facilities - the FastInfosetFeature bean (used in cxf:bus XML configuration) and the @FastInfoset annotation.
The patch is made against the 2.6.x branch, but should also work on trunk."
CXF-5001,"https://issues.apache.org/jira/browse/CXF-5001
",Support XKMS 2.0,New Feature,CLOSED,Major,Fixed,3.0.0-milestone1,3.0.0-milestone1,Services,"Talend is happy to donate the initial XKMS 2.0 implementation to Apache CXF as part of this Jira.
XKMS will be contributed as a service (like STS and WS-Discovery) providing standardized access to central public key infrastructure (PKI) including lookup, validation, registration, reissuing and revocation of public keys.
XKMS will help users to manage their certificates centrally instead storing them into local keystores, that IMO best practice for middle/large service landscapes.
I tried to describe the use case, architecture and design of XKMS Service in CXF wiki:
https://cwiki.apache.org/confluence/display/CXF20DOC/XML+Key+Management+Service+%28XKMS%29
and in the blog: http://ashakirin.blogspot.de/2013/04/cxf-security-getting-certificates-from.html .
Attached is the initial draft of XKMS service implementation supporting X509 public keys, simple File and LDAP storages and providing Web and OSGi deployment. Suggested target CXF release for XKMS service will be 3.0. Code was designed and implemented by me together with Christian Schneider (cschneider), reviewed and refactored by Jan Bernhard (jbernhard) and donated by Talend company.
Any feedback for this code is welcome. The next tasks will be support revocation lists, complete validate operation for trusted chains, extend system tests, support new key storages.
Regards,
Andrei."
CXF-5076,"https://issues.apache.org/jira/browse/CXF-5076
","Improved handling of certificate repositories, added integration tests",Improvement,CLOSED,Major,Fixed,3.0.0-milestone1,3.0.0-milestone1,Services,"Refactored backend for easier certificate repository handling.
Adjusted integration test setup.
Added integration tests for certificate validation.
Thanks to Christian Schneider for doing most of the refactoring work."
CXF-5317,"https://issues.apache.org/jira/browse/CXF-5317
",Policy exception handler throws away useful exception stack trace,Improvement,CLOSED,Major,Fixed,"2.7.6, 2.7.7","2.7.8, 2.6.11",WS-* Components,"I had a working WS-Policy which was encrypting the SOAP body with a UsernameToken using Basic128 encryption, then I modified the policy to use Basic256 encryption instead. I got the following stack trace cause:
Caused by: org.apache.cxf.ws.policy.PolicyException: Cannot encrypt data
at org.apache.cxf.ws.security.wss4j.policyhandlers.AbstractBindingBuilder.policyNotAsserted(AbstractBindingBuilder.java:294)
Since the exception was short on detail, I went to the source code and found that AbstractBindingBuilder.java:294 was simply throwing away the rest of the Exception object. There's a method existing already to take the exception too so I changed that line to call it and now get the following MUCH more useful error message on the end of the stack trace:
Caused by: org.apache.xml.security.encryption.XMLEncryptionException: Invalid AES key length: 20 bytes
Original Exception was java.security.InvalidKeyException: Invalid AES key length: 20 bytes
I chose priority Major because without this user will report the error ""cannot encrypt data"" which will give developers very little to go on. The only way to find the real problem is to attach a debugger which is not an option for everybody.
I'll attach a patch to this issue to resolve this."
CXF-3021,"https://issues.apache.org/jira/browse/CXF-3021
",Try to remove a wsdl4J dependency from the JAXRS frontend,Improvement,CLOSED,Major,Fixed,2.3,3.0.0-milestone1,JAX-RS,HTTP Transport and API modules depend strongly at runtime on javax.wsdl.* (wsdl4j)
CXF-5075,"https://issues.apache.org/jira/browse/CXF-5075
",Support for chain trust validation,Improvement,CLOSED,Major,Fixed,3.0.0-milestone1,3.0.0-milestone1,Services,"Provides a validator which verifies a given subject certificate followed by optional intermediate CAs.
Further Public Key Infrastructure data about intermediate and trusted CAs is taken from LDAP (filters can be configured via properties).
As result the validator returns the valid/invalid reason as IssuerTrust.
Certificate Revocation Lists are not supported yet.
Thanks to Christian Schneider for supporting and reviewing."
CXF-5053,"https://issues.apache.org/jira/browse/CXF-5053
",JAX-RS behavior differs from JAX-WS for MessageContext.get( Message.class.getName() ),Improvement,CLOSED,Major,Fixed,None,"2.5.11, 2.6.9, 2.7.6, 3.0.0-milestone1",JAX-RS,"In JAX-WS:
WebServiceContext webServiceContext; // injected with proper value.
Message message = Message.class.cast( webServiceContext.getMessageContext().get( Message.class.getName() ) );
results in a valid message object reference (not null)
In JAX-RS however similar code:
MessageContext jaxrsContext; // injected with proper value.
Message message = Message.class.cast( jaxrsContext.get( Message.class.getName() ) );
results in an invalid message object (null);"
CXF-4457,"https://issues.apache.org/jira/browse/CXF-4457
",Extend WS-SecureConversation to support SAML Assertions for authentication,Improvement,CLOSED,Major,Fixed,None,2.7.6,WS-* Components,"Hi, as shown for GlassFish Metro:
https://gist.github.com/3191480
Support the following authentication mechanism:
1.) The WSC gets a SAML assertion from the STS.
2.) The WSC sends that SAML assertion to the WSP to get the SCT from the WSP
3.) All subsequent real calls for doubled numbers between WSC and WSP use the SCT and not the SAML assertion.
Here is a Netbeans-generated WSDL for this scenario:
https://github.com/gmazza/blog-samples/blob/master/cxf_sts_tutorial/service/src/main/resources/DoubleItSecrConv.txt
A sample testcase that can be used (steps to use: update WSP WSDL with the one above, run mvn clean install tomcat7:redeploy from base folder, then mvn exec:exec from client folder): https://github.com/gmazza/blog-samples/tree/master/cxf_sts_tutorial"
CXF-5079,"https://issues.apache.org/jira/browse/CXF-5079
",Add support for mustunderstand = false in PolicyBasedWSS4JOutInterceptor,Improvement,CLOSED,Major,Fixed,"2.5.10, 2.6.8, 2.7.5","2.5.11, 2.6.9, 2.7.6",JAX-WS Runtime,"As discussed on the cxf-developer mailing list, patch is coming up shortly:
Yes, please submit a patch for this.
Colm.
On Thu, Jun 13, 2013 at 3:53 PM, <oddbjorn.heimdal@accenture.com> wrote:
> Hi,
>
> We have hit a limitation in PolicyBasedWSS4JOutInterceptor which hard
> codes mustUnderstand = true (line 99). This is configurable in the
> WSS4JOutInterceptor today, but not when using policy.
>
> public void handleMessage(SoapMessage message) throws Fault {
> Collection<AssertionInfo> ais;
> SOAPMessage saaj = message.getContent(SOAPMessage.class);
>
> boolean mustUnderstand = true;
> String actor = null;
>
> Obviously this makes sense in most cases, but we have some
> intermediaries which do not understand security...
>
> Would you accept a patch to have this configurable, for instance by
> creating a new property in SecurityConstants (for instance
> ws-security.mustsunderstand) and default to true?
>
> Best regards,
>
> Oddbj?rn
>
> ______________________________________________________________________
> _____________________
> Oddbj?rn Heimdal
> Accenture Technology Consulting - Security Snar?yveien 30, P.O. Box
> 363, 1326 Lysaker, Norway
> Mobile: +47 99 72 19 12
> Email: oddbjorn.heimdal@accenture.com<mailto:
> oddbjorn.heimdal@accenture.com>
>
>
> ________________________________
> This message is for the designated recipient only and may contain
> privileged, proprietary, or otherwise confidential information. If you
> have received it in error, please notify the sender immediately and
> delete the original. Any other use of the e-mail by you is prohibited.
>
> Where allowed by local law, electronic communications with Accenture
> and its affiliates, including e-mail and instant messaging (including
> content), may be scanned by our systems for the purposes of
> information security and assessment of internal compliance with Accenture policy.
>
>
> ______________________________________________________________________
> ________________
>
> www.accenture.com
>
�C
Colm O hEigeartaigh
Talend Community Coder
http://coders.talend.com"
CXF-2036,"https://issues.apache.org/jira/browse/CXF-2036
",Add option to retry a http request on socket error to http client,New Feature,CLOSED,Major,Fixed,"2.1.4, 2.2.3","2.1.7, 2.2.4","Core, Transports","See http://www.nabble.com/Retry-on-java.net.SocketTimeoutException%3A-Read-timed-out-td21939913.html
The client gets 'java.net.SocketTimeoutException: Read timed out' because the remote server is currently busy or 'java.net.SocketException: Connection reset' because of a network issue.
A new option in the http client configuration can catch these errors for a number of times and only throws the exception, if retry was not successful.
<http-conf:conduit name=""
{http://apache.org/hello_world_soap_http}
SoapPort.http-conduit"">
<http-conf:client RetryOnSocketError=""2"" />
</http-conf:conduit>"
CXF-2760,"https://issues.apache.org/jira/browse/CXF-2760
",implement useMessageIDAsCorrelationID for JMS Client,New Feature,CLOSED,Major,Fixed,"2.1.4, 2.1.9, 2.2.7","2.2.8, 2.1.10",Transports,MQSeries servers often use the message ID of and incoming message as the correlation ID for an outgoing message. In order for a CXF client to communicate with an MQSeries server it needs to correlate the outgoing message with the incoming message using the message ID of the sent message.
CXF-4350,"https://issues.apache.org/jira/browse/CXF-4350
",CXF JMS transport should support to JAXRS fontend client out of box,Improvement,CLOSED,Major,Fixed,None,"2.5.5, 2.6.2, 2.7",Transports,"Current JMS transport doesn't send out Message.REQUEST_URI and
Message.HTTP_REQUEST_METHOD properties as the HTTP transport does.
We need to add these headers when the jaxrs frondend client is used with JMS transport."
CXF-3765,"https://issues.apache.org/jira/browse/CXF-3765
",CXF features should use version range for features provided by Karaf,Improvement,CLOSED,Major,Fixed,2.4.2,"2.4.3, 2.5",OSGi,"Currently, CXF features use specific version for spring and spring-dm features.
It means that if CXF upgrade to a new Spring version, if Karaf doesn't update to the same version, CXF won't be installable in Karaf.
To avoid this situation, CXF should use version range for features provided by Karaf.
I'm gonna provide a patch for that."
CXF-3152,"https://issues.apache.org/jira/browse/CXF-3152
",Add support for processing a PKI Certificate Chain,Improvement,CLOSED,Major,Fixed,"2.3, 2.2.11","2.2.12, 2.3.1, 2.4",WS-* Components,WSS4J 1.5.10 has added support for processing a BinarySecurityToken that contains a PKI Certificate Chain. CXF must be updated to verify trust on the certificate chain associated with Signature verification.
CXF-2281,"https://issues.apache.org/jira/browse/CXF-2281
",WS-PolicyAttachment support for Java First services,New Feature,CLOSED,Major,Fixed,2.2.2,"2.2.3, 2.3",WS-* Components,"This patch adds some support for WS-PolicyAttachment with Java First services. It supports policies defined in ExternalAttachmentProviders.
For every PolicyAttachment in every ExternalAttachmentProvider, it:
adds the policy to the ServiceInfo (the top level of the WSDL)
adds policy references to all the binding operations that the policy applies to,
also adds policy references to the interface (portType) operations - this mirrors Wsdl11XPointerDomainExpression where the two are considered equivalent.
The patch builds cleanly against 2.2.2 and the latest trunk, with the exception of a checkstyle error for our copyright header.
While the two patches that this depends on are hopefully ready to be integrated into CXF, the solution presented here may not be the cleanest approach to implementing this functionality.
If you do decide to integrate it, please include this assertion in the NOTICE file:
This product includes software Copyright University of Southampton IT Innovation Centre, 2009 (http://www.it-innovation.soton.ac.uk).
Please also include ""from University of Southampton IT Innovation Centre"" in the change log."
CXF-2280,"https://issues.apache.org/jira/browse/CXF-2280
",Add OperationInfo extensors to generated WSDL,Improvement,CLOSED,Major,Fixed,2.2.2,"2.2.3, 2.3",Core,"When generating the WSDL from a service model, the ServiceWSDLBuilder does not add extensors to operations inside a portType. While this follows the SOAP 1.1 specification, the WS-I Basic Profile 1.1 overrules this. This functionality is particularly useful for the implementation of WS-PolicyAttachment:
""WSDL 1.1 disallows the use of extensibility elements on certain elements and the use of extensibility attributes on others. However, the WS-I Basic Profile 1.1 [BP 1.1] overrules this restriction and allows element extensibility everywhere. Therefore, the Policy reference SHOULD be attached using <wsp:PolicyReference> as child element unless it is absolutely necessary to maintain the original WSDL 1.1 restriction, in which case the @wsp:PolicyURIs attribute should be used for those restricted cases.""
(from the WS-PolicyAttachment W3C Submission at http://www.w3.org/Submission/WS-PolicyAttachment/#AttachingPolicyUsingWSDL1.1)
This patch adds the extensors. It builds cleanly against both 2.2.2 and the current trunk.
Please include ""from University of Southampton IT Innovation Centre"" in the change log."
CXF-2278,"https://issues.apache.org/jira/browse/CXF-2278
",Implement serialize method on JaxbAssertions,Improvement,CLOSED,Major,Fixed,2.2.2,"2.1.6, 2.2.3",JAXB Databinding,"The JaxbAssertion class inherits it's serialize method from PrimitiveAssertion which unhelpfully returns nothing.
This patch implements the serialize method using a JAXB marshaller. It uses similar code to JaxbAssertionBuilder to get a JAXBContext. It sets the ""jaxb.fragment"" flag of the marshaller so that the assertions can be included in larger xml documents (this is supported by all compliant implementations, see http://java.sun.com/javase/6/docs/api/javax/xml/bind/Marshaller.html).
The patch builds cleanly against both 2.2.2 and the current trunk.
Please include ""from University of Southampton IT Innovation Centre"" in the change log."
CXF-2491,"https://issues.apache.org/jira/browse/CXF-2491
",Add TLS cert constraints support,Improvement,CLOSED,Major,Fixed,None,"2.2.5, 2.3",Transports,"Extend CXF to support the configuration of ""TLS Certificate constraint patterns"" for clients and servers.
The goal is to be able to specify X.509 subject patterns that restrict details of
a) client certificates
b) target server certificates
that are acceptable for a specific inbound or outbound connection attempt."
CXF-4849,"https://issues.apache.org/jira/browse/CXF-4849
",WebClient needs to support JAX-RS 2.0 GenericType,Improvement,CLOSED,Major,Fixed,None,"2.7.4, 3.0.0-milestone1",JAX-RS,"This is useful for processing generic responses, example,
GenericType<List<Book>> genericResponseType = new GenericType<List<Book>>() {};

List<Book> books = webClient.get(genericResponseType);
// or

List<Book> books = webClient.post(someObject, genericResponseType);"
CXF-4791,"https://issues.apache.org/jira/browse/CXF-4791
",Passing arguments to JAXB compiler from WADL2Java,New Feature,CLOSED,Major,Fixed,2.7.2,"2.7.4, 2.6.7, 2.5.10, 3.0.0-milestone1","Build system, Tooling","I needed it for cxf-wadl2java-plugin originally. But since it is a part of tools the change will be propagated. Arguments are passed through existing plugin parameter <extraargs> with prefix -xjc.
Patch is included.
Example usage:
<extraargs>
    <extraarg>-xjc-XtoString</extraarg>
</extraargs>
I also added a test for generating toString with JAXB objects (this required dependency for jaxb2-basics with test scope).
Things already done:
1. Multiple arguments allowed
2. Code passed checkstyle verification
3. Prepared on trunk (2.8.0-SNAPSHOT)
Things to consider to change:
1. Implementation eventually
2. Add additional verification for test to check if toString was really generated
3. Replace dependency to jaxb2-basics with custom plugin (for tests)
I don't know if I have to add it but I provide this code without any warranty and for free. You can use it or change it whatever you like.
But it would be good if you would consider adding it as for now it is impossible to pass jaxb arguments which can be very useful (even mandatory)"
CXF-4768,"https://issues.apache.org/jira/browse/CXF-4768
",Refact SwaOutInterceptor for more compatible JAXB Impl usage,Improvement,CLOSED,Major,Fixed,2.6.5,"2.5.9, 2.6.6, 2.7.3, 3.0.0-milestone1",JAXB Databinding,"Now, in the SwaOutInterceptor, the non-standard method hasSwaRef from the JAXBContext is used to detected whether any attachment setup work is required, this works with JAXB RI impl. While using a non-RI implementation, due to special reason, the target JAXB Impl class is not marked as public.
It will be better that we could update the codes a bit for better compatible.
a. Update the accesible for the method if required
b. Chnage the mofidier for method hasSwaRef for eaier integration usage."
CXF-4748,"https://issues.apache.org/jira/browse/CXF-4748
",getMessage from java.lang.Throwable is excluded from accepted method,Improvement,CLOSED,Major,Fixed,None,"2.6.6, 2.7.3",JAXB Databinding,"According to jax-ws spec:
For each getter in the exception and its superclasses, a property of the same type and name is added to
the bean. All the getter methods except getMessage from java.lang.Throwable type hierarchy
are excluded from the list of getters to be mapped.
But currently, message does not show up in generated wsdl in CXF:
public class AddNumbersException extends Exception {
private static final long serialVersionUID = 4629689348515005826L;
String detail;
public AddNumbersException(String message, String detail)
{ super(message); this.detail = detail; }
public String getDetail()
{ return detail; }
}
<xs:complexType name=""AddNumbersException"">
<xs:sequence>
<xs:element name=""detail"" nillable=""true"" type=""xs:string""/>
</xs:sequence>
</xs:complexType>
The corrected version should be:
<xs:complexType name=""AddNumbersException"">
<xs:sequence>
<xs:element name=""detail"" nillable=""true"" type=""xs:string""/>
<xs:element name=""message"" nillable=""true"" type=""xs:string""/>
</xs:sequence>
</xs:complexType>"
CXF-4549,"https://issues.apache.org/jira/browse/CXF-4549
",Add retrieval of AccessToken to OAuth2 MessageContext,Improvement,CLOSED,Major,Fixed,"2.6.2, 2.7","2.6.4, 2.7.1",JAX-RS Security,"I found no way to get the Bearer token and the authorized client via
the injected MessageContext. I copied the OAuthRequestFilter and put the
AccessTokenValidation into the message which worked perfectly. May be
this could be done by default.
Patch will be provided."
CXF-4548,"https://issues.apache.org/jira/browse/CXF-4548
",Enable use of customized session provider in OAuth2 GrantService,Improvement,CLOSED,Major,Fixed,"2.6.2, 2.7","2.6.4, 2.7.1",JAX-RS Security,"In the AuthorizationCodeGrantService there are two private methods
using sessions to store and retrieve the sessionAuthenticityToken. It
would be nice to be able to change the storage.
I had to create a deep copy of this class to use some other session store.
Patch will be provided soon."
CXF-3547,"https://issues.apache.org/jira/browse/CXF-3547
",Enable http proxy support in the cxf-codegen-plugin for retrieval of WSDL files through the java.net.URL class,Improvement,CLOSED,Major,Fixed,2.4,"2.4.1, 2.3.5",Tooling,Currently this plugin ignores the proxy server configured in maven and requires you to pass in a http.proxyHost and http.proxyPort variables. It would be nice if it used the maven configuration to ensure these variables were set before using the java.net.URL class to retrieve the WSDL.
CXF-4515,"https://issues.apache.org/jira/browse/CXF-4515
",maven java2ws plugin address configuration,Improvement,CLOSED,Major,Fixed,2.6.2,"2.4.10, 2.5.6, 2.6.3, 2.7",Build system,I found useful being able to generate wsdl with a different port address.
CXF-4497,"https://issues.apache.org/jira/browse/CXF-4497
",Configure WSDL generation to ignore jaxb.index and ObjectFactory,Improvement,CLOSED,Major,Fixed,2.6.2,2.6.3,JAXB Databinding,"I would like the ability to disable the addition of all classes not directly referenced in the WSDL from being added to the wsdl. A small patch to org.apache.cxf.jaxb.JAXBDataBinding will satisfy this requirement and will not affect existing users as the configuration will be false by default. I will be submitting a patch to provide this functionality against 2.6.2
This can be configured on the endpoint via a property:
<jaxws:properties>
<entry key=""jaxb.scanPackages"" value=""false"" />
</jaxws:properties>"
CXF-4392,"https://issues.apache.org/jira/browse/CXF-4392
",Easier customization of log messages in Logging[In|Out]Interceptor,Improvement,CLOSED,Major,Fixed,2.6.1,"2.6.2, 2.7",Core,"We're using LoggingInInterceptor and LoggingOutInterceptor to produce logs for use in debugging issues in our services.
Although we're very happy with the features they provide, we find it a bit difficult to tweak what information is being logged and the format of the log.
Some of our clients would like more or less info to be logged, some would like everything in one line, wrapped in XML.
Specifically, it would be nice if the code fragment in the LoggingInInterceptor.logging() and LoggingOutInterceptor.LogWriter.close() methods which produces the log message string was extracted to separate overridable methods in Logging[In|Out]Interceptor, like this:
protected String formatMessage(LoggingMessage message) {
// Use toString as default:
return message.toString();
}
Another option is to add a factory method for the LoggingMessage such that we could override the toString method.
Or perhaps there are even better ways to meet the need of customized logging formats?"
CXF-4073,"https://issues.apache.org/jira/browse/CXF-4073
",Support multiple policy interceptor providers per policy assertion,Improvement,CLOSED,Major,Fixed,None,2.6,WS-* Components,"Hi,
At the moment policy mechanism is very powerfull, but have some limitation. One of them is that it is possible to register only one InterceptorProvider for one policy assertion.
PolicyInterceptorProviderRegistry interface extends Regsitry as:
public interface PolicyInterceptorProviderRegistry
extends Registry<QName, PolicyInterceptorProvider> {
I see some use cases where PolicyInterceptorProvider(s) are independent, but associated with the same policy assertion (for example in complex authentication case).
Proposal: extend PolicyInterceptorProviderRegistry to save set of PolicyInterceptorProvider for one assertion.
If proposal is accepted I will provide patch.
Regards,
Andrei."
CXF-4223,"https://issues.apache.org/jira/browse/CXF-4223
",Extend fault policy interceptors with POLICY_OVERRIDE,Improvement,CLOSED,Major,Fixed,None,2.5.3,Core,"Hi,
I would like to extend CXF-3996 for ClientPolicyInFaultInterceptor and ServerPolicyOutFaultInterceptor. Both interceptors will check POLICY_OVERRIDE message context property firstly and, if policy is provided, it will be used (the same way as in PolicyInInterceptor, PolicyOutInterceptor).
The reason of this extension is use cases where fault interceptor chain should be also controlled dynamically using POLICY_OVERRIDE mechanism (for example in case of WS-Addressing: if it was dynamically activated in PolicyInInterceptor, PolicyOutInterceptor it must be also consequentially done in ClientPolicyInFaultInterceptor and ServerPolicyOutFaultInterceptor, otherwise faults will be processed incorrectly). It also harmonise all policy interceptors code.
Patch includes:
1 extended EffectivePolicyImpl to support getting fault interceptors from PolicyInterceptorProviderRegistry
2)updated ClientPolicyInFaultInterceptor and ServerPolicyOutFaultInterceptor
3)harmonized PolicyInInterceptor, PolicyOutInterceptor
4)corresponded junit tests
Regards,
Andrei."
